#2019/11/10 16:23:25: Step time 1.0e-13, Num sims 50000, path: inversor_chain_5, tech: TSMC180, load: 32.00
#Logical Effort: 3.087000e-10, widths: [0.42e-6, 0.84e-6, 1.68e-6, 3.36e-6, 6.72e-6]
Tp, width[0], width[1], width[2], width[3], width[4], load width, Total width, ratio 0 to 1, ratio 1 to 2, ratio 2 to 3, ratio 3 to 4, ratio 4 to load, Average ratio (not including load), Average ratio (including load)
3.485000e-10, 0.42e-6, 0.93e-6, 4.54e-6, 7.30e-6, 12.18e-6, 1.344000e-05, 2.537317e-05, 2.22, 4.86, 1.61, 1.67, 1.10, 2.59, 2.29
3.493000e-10, 0.42e-6, 1.95e-6, 7.23e-6, 8.79e-6, 12.36e-6, 1.344000e-05, 3.074895e-05, 4.64, 3.71, 1.22, 1.41, 1.09, 2.74, 2.41
3.494000e-10, 0.42e-6, 0.72e-6, 6.96e-6, 0.95e-6, 6.28e-6, 1.344000e-05, 1.532406e-05, 1.70, 9.73, 0.14, 6.62, 2.14, 4.55, 4.07
3.495000e-10, 0.42e-6, 8.36e-6, 8.95e-6, 6.31e-6, 4.26e-6, 1.344000e-05, 2.829240e-05, 19.90, 1.07, 0.70, 0.68, 3.16, 5.59, 5.10
3.496000e-10, 0.42e-6, 4.48e-6, 13.00e-6, 6.94e-6, 1.07e-6, 1.344000e-05, 2.590821e-05, 10.66, 2.90, 0.53, 0.15, 12.53, 3.56, 5.36
3.498000e-10, 0.42e-6, 4.56e-6, 4.74e-6, 12.24e-6, 11.60e-6, 1.344000e-05, 3.355582e-05, 10.86, 1.04, 2.58, 0.95, 1.16, 3.86, 3.32
3.501000e-10, 0.42e-6, 9.45e-6, 11.99e-6, 6.08e-6, 3.00e-6, 1.344000e-05, 3.094838e-05, 22.49, 1.27, 0.51, 0.49, 4.47, 6.19, 5.85
3.513000e-10, 0.42e-6, 8.55e-6, 10.96e-6, 11.32e-6, 3.51e-6, 1.344000e-05, 3.476124e-05, 20.35, 1.28, 1.03, 0.31, 3.83, 5.74, 5.36
3.518000e-10, 0.42e-6, 2.86e-6, 9.48e-6, 10.65e-6, 11.30e-6, 1.344000e-05, 3.470802e-05, 6.82, 3.31, 1.12, 1.06, 1.19, 3.08, 2.70
3.549000e-10, 0.42e-6, 1.23e-6, 5.06e-6, 7.62e-6, 2.85e-6, 1.344000e-05, 1.718617e-05, 2.93, 4.11, 1.51, 0.37, 4.71, 2.23, 2.73
3.568000e-10, 0.42e-6, 7.82e-6, 12.60e-6, 12.15e-6, 8.73e-6, 1.344000e-05, 4.171263e-05, 18.61, 1.61, 0.96, 0.72, 1.54, 5.48, 4.69
3.628000e-10, 0.42e-6, 12.88e-6, 7.72e-6, 3.60e-6, 10.57e-6, 1.344000e-05, 3.518592e-05, 30.67, 0.60, 0.47, 2.94, 1.27, 8.67, 7.19
3.809000e-10, 0.42e-6, 11.17e-6, 5.47e-6, 7.28e-6, 2.72e-6, 1.344000e-05, 2.705651e-05, 26.60, 0.49, 1.33, 0.37, 4.94, 7.20, 6.75
